year,city,country,avg_temp
1824,Manaus,Brazil,26.44
1825,Manaus,Brazil,26.45
1826,Manaus,Brazil,26.36
1827,Manaus,Brazil,26.70
1828,Manaus,Brazil,26.10
1829,Manaus,Brazil,25.92
1830,Manaus,Brazil,
1831,Manaus,Brazil,
1832,Manaus,Brazil,
1833,Manaus,Brazil,
1834,Manaus,Brazil,
1835,Manaus,Brazil,
1836,Manaus,Brazil,
1837,Manaus,Brazil,
1838,Manaus,Brazil,
1839,Manaus,Brazil,
1840,Manaus,Brazil,
1841,Manaus,Brazil,
1842,Manaus,Brazil,
1843,Manaus,Brazil,
1844,Manaus,Brazil,
1845,Manaus,Brazil,25.83
1846,Manaus,Brazil,26.52
1847,Manaus,Brazil,25.90
1848,Manaus,Brazil,25.95
1849,Manaus,Brazil,25.94
1850,Manaus,Brazil,25.97
1851,Manaus,Brazil,26.01
1852,Manaus,Brazil,26.01
1853,Manaus,Brazil,26.04
1854,Manaus,Brazil,26.04
1855,Manaus,Brazil,26.15
1856,Manaus,Brazil,25.79
1857,Manaus,Brazil,25.64
1858,Manaus,Brazil,26.00
1859,Manaus,Brazil,26.15
1860,Manaus,Brazil,26.01
1861,Manaus,Brazil,25.90
1862,Manaus,Brazil,25.65
1863,Manaus,Brazil,25.97
1864,Manaus,Brazil,25.96
1865,Manaus,Brazil,26.08
1866,Manaus,Brazil,26.21
1867,Manaus,Brazil,26.37
1868,Manaus,Brazil,26.09
1869,Manaus,Brazil,26.43
1870,Manaus,Brazil,26.08
1871,Manaus,Brazil,26.11
1872,Manaus,Brazil,26.12
1873,Manaus,Brazil,26.42
1874,Manaus,Brazil,26.26
1875,Manaus,Brazil,25.72
1876,Manaus,Brazil,26.02
1877,Manaus,Brazil,26.58
1878,Manaus,Brazil,26.81
1879,Manaus,Brazil,26.03
1880,Manaus,Brazil,25.84
1881,Manaus,Brazil,26.31
1882,Manaus,Brazil,25.97
1883,Manaus,Brazil,25.88
1884,Manaus,Brazil,25.74
1885,Manaus,Brazil,24.98
1886,Manaus,Brazil,25.70
1887,Manaus,Brazil,25.88
1888,Manaus,Brazil,26.17
1889,Manaus,Brazil,26.28
1890,Manaus,Brazil,25.67
1891,Manaus,Brazil,25.92
1892,Manaus,Brazil,25.83
1893,Manaus,Brazil,25.75
1894,Manaus,Brazil,25.95
1895,Manaus,Brazil,26.22
1896,Manaus,Brazil,26.32
1897,Manaus,Brazil,26.26
1898,Manaus,Brazil,25.92
1899,Manaus,Brazil,26.22
1900,Manaus,Brazil,26.57
1901,Manaus,Brazil,26.67
1902,Manaus,Brazil,26.31
1903,Manaus,Brazil,26.27
1904,Manaus,Brazil,25.86
1905,Manaus,Brazil,26.45
1906,Manaus,Brazil,26.22
1907,Manaus,Brazil,26.00
1908,Manaus,Brazil,26.07
1909,Manaus,Brazil,26.16
1910,Manaus,Brazil,25.94
1911,Manaus,Brazil,26.10
1912,Manaus,Brazil,26.49
1913,Manaus,Brazil,26.17
1914,Manaus,Brazil,26.60
1915,Manaus,Brazil,26.59
1916,Manaus,Brazil,26.27
1917,Manaus,Brazil,25.69
1918,Manaus,Brazil,26.12
1919,Manaus,Brazil,26.43
1920,Manaus,Brazil,26.20
1921,Manaus,Brazil,25.99
1922,Manaus,Brazil,25.92
1923,Manaus,Brazil,25.95
1924,Manaus,Brazil,26.24
1925,Manaus,Brazil,26.32
1926,Manaus,Brazil,26.65
1927,Manaus,Brazil,26.27
1928,Manaus,Brazil,26.53
1929,Manaus,Brazil,26.34
1930,Manaus,Brazil,26.50
1931,Manaus,Brazil,26.69
1932,Manaus,Brazil,26.56
1933,Manaus,Brazil,26.41
1934,Manaus,Brazil,26.35
1935,Manaus,Brazil,26.63
1936,Manaus,Brazil,26.69
1937,Manaus,Brazil,26.77
1938,Manaus,Brazil,26.58
1939,Manaus,Brazil,26.59
1940,Manaus,Brazil,26.94
1941,Manaus,Brazil,27.03
1942,Manaus,Brazil,26.77
1943,Manaus,Brazil,26.43
1944,Manaus,Brazil,26.71
1945,Manaus,Brazil,26.67
1946,Manaus,Brazil,26.63
1947,Manaus,Brazil,26.60
1948,Manaus,Brazil,26.57
1949,Manaus,Brazil,26.34
1950,Manaus,Brazil,26.52
1951,Manaus,Brazil,26.69
1952,Manaus,Brazil,26.74
1953,Manaus,Brazil,26.79
1954,Manaus,Brazil,26.76
1955,Manaus,Brazil,26.43
1956,Manaus,Brazil,26.17
1957,Manaus,Brazil,26.81
1958,Manaus,Brazil,27.26
1959,Manaus,Brazil,26.78
1960,Manaus,Brazil,26.22
1961,Manaus,Brazil,26.71
1962,Manaus,Brazil,26.84
1963,Manaus,Brazil,26.93
1964,Manaus,Brazil,26.75
1965,Manaus,Brazil,26.92
1966,Manaus,Brazil,26.97
1967,Manaus,Brazil,26.88
1968,Manaus,Brazil,26.49
1969,Manaus,Brazil,27.32
1970,Manaus,Brazil,27.09
1971,Manaus,Brazil,26.16
1972,Manaus,Brazil,26.63
1973,Manaus,Brazil,26.61
1974,Manaus,Brazil,26.26
1975,Manaus,Brazil,26.35
1976,Manaus,Brazil,26.65
1977,Manaus,Brazil,26.62
1978,Manaus,Brazil,26.71
1979,Manaus,Brazil,26.92
1980,Manaus,Brazil,27.00
1981,Manaus,Brazil,26.73
1982,Manaus,Brazil,26.97
1983,Manaus,Brazil,27.38
1984,Manaus,Brazil,26.50
1985,Manaus,Brazil,26.61
1986,Manaus,Brazil,26.67
1987,Manaus,Brazil,27.45
1988,Manaus,Brazil,26.93
1989,Manaus,Brazil,26.53
1990,Manaus,Brazil,27.07
1991,Manaus,Brazil,27.21
1992,Manaus,Brazil,27.42
1993,Manaus,Brazil,26.89
1994,Manaus,Brazil,26.90
1995,Manaus,Brazil,27.34
1996,Manaus,Brazil,27.07
1997,Manaus,Brazil,27.57
1998,Manaus,Brazil,27.54
1999,Manaus,Brazil,26.66
2000,Manaus,Brazil,26.82
2001,Manaus,Brazil,27.08
2002,Manaus,Brazil,27.27
2003,Manaus,Brazil,27.39
2004,Manaus,Brazil,27.24
2005,Manaus,Brazil,27.60
2006,Manaus,Brazil,27.34
2007,Manaus,Brazil,27.32
2008,Manaus,Brazil,26.94
2009,Manaus,Brazil,27.39
2010,Manaus,Brazil,27.56
2011,Manaus,Brazil,27.29
2012,Manaus,Brazil,27.34
2013,Manaus,Brazil,27.11
